Flight Name,Departure Airport,Arrival Airport,Airline
SNKYIJ,JGO,JOX,BC
HJKLXM,DWL,TDV,RR
SWDMHH,EEK,GTU,NL
YCNNEA,TDU,VVD,PL
VNUESU,CLN,CSE,YY
GIPTPJ,XNB,ZPP,FN
NFXEXL,PGL,TOB,HX
XILNKY,FDN,ZMJ,PY
MOIPPB,JLW,DLQ,AM
ESKOBE,VLH,WQC,UM
MCNWRM,SSH,SMY,OH
FJLPHR,ZOM,ALD,BT
TNKHNX,YDW,HMI,US
BERTDM,CFX,EBF,PG
HOJSKI,GWH,USL,HS
GSWCDS,DSY,MDQ,SQ
TBINXL,ZCT,MTY,FE
XGRRUX,WHY,RWD,YE
HUTIDZ,QUP,QFU,PY
XITLDW,IPP,WBW,XT
WCYOXZ,FEA,TBT,HM
CIFJNP,VYP,VSE,WZ
WTJJLR,OSG,SQJ,ER
CQROCV,ORP,PGQ,NR
YJORAG,JPF,BMB,UG
UVCVGQ,ZJJ,KQI,TY
MYPNOZ,JVN,CLN,MQ
RVRZSH,YGN,TGH,QC
SCVXKI,QCM,CGE,XT
SVWROJ,QNW,QML,FJ
SIQMMX,KKB,EIS,ZY
MQOGJN,ARH,FEB,PQ
SDLQKQ,WXH,BVQ,OR
VAIBYZ,FEW,XQW,JL
BHWOWL,QFX,TIH,WC
ZDCMPF,BHP,RLA,IQ
KEWYBK,FRV,SLC,BL
JPSRCU,IAD,CUY,PR
RMXIVU,CKX,BOQ,RU
HOMFEX,GWG,BCB,BE
YGDZJE,UFT,LGN,FK
FLGIRC,NYC,HHN,RC
PQVYHL,YAY,WZJ,ZB
MFLSWK,VAO,AXV,VF
QEBYLC,SMK,OLV,ZV
RXHHBB,DES,FFJ,CL
XYOPNG,NED,ELQ,ZA
NLGAIP,IRK,MOV,LL
FRCVXX,JAU,NOH,QF
WPFCYS,SBK,SOR,PL
GPQSPN,LTG,WNV,HG
XNQXLJ,DGY,PUB,ND
HFMZUV,XJP,HFF,ZR
UWRSWO,XCB,OPN,PA
HFMGVR,GEO,GES,QR
TYAVRI,SRE,FIE,ZY
JJAGSU,RFY,ZQZ,TQ
FVOUNP,QEO,GUN,PR
QAQYAZ,RSI,OPJ,KE
HZSNIC,XJN,LAE,PU
ITKXSS,MWV,OCJ,DF
EGUKSH,SVM,EHC,VA
VTMECU,KWE,SWT,XL
SAFYUN,ZNC,PQQ,NF
WXJWXL,ZKS,KNX,PH
QCMJBJ,YWH,KTL,IU
IJPMLG,HWT,VIT,RO
BFKGRA,NPB,NYV,RI
IWJGLB,CTD,HSJ,OM
LANWWU,IUF,UVX,JI
QYCJGH,RFK,RSO,AZ
MPVSKL,HPO,KJM,VK
WWQHUP,TEY,CXC,ZB
WLNYOQ,WIG,KPT,FE
AGBJLG,NTX,TYL,WN
ASPDRD,XSS,OPQ,CG
ENNSMZ,KAR,ZGM,BN
GXGBUR,CRY,XCX,UU
NYZTKU,EKR,TCF,DL
MPBGGJ,DDD,ACN,KH
NEKACO,ZRP,WQE,ZO
BNZPMD,HVX,PGH,YC
XVQQKD,ZJS,EDH,YO
MMUKOG,QXQ,SED,BE
QFARKQ,FNQ,AJR,CK
QITVSX,VTQ,MZK,HD
ZUNYPL,HEZ,IZX,WY
GQLKUP,YLS,TTS,ZE
LQYNJN,OEA,AJC,TB
WQBQCT,XIU,FPY,NM
XLZNOD,HII,XZD,UN
NCSWMV,NSR,BUC,IH
HJBOEB,YEA,GEB,WC
MKBEQL,TAH,ATW,EN
AIWUQY,RRH,GOG,XO
OPSPVZ,FUI,NRF,WC
VHNCIF,BTV,OPN,SA
GUZOYD,HVK,YYA,JZ
IUMIHB,RDP,YVV,MK
SHFAMO,PQQ,EIE,WZ
QHQRBV,QLO,DLU,YF
ZNVGCT,UEY,XKP,WB
PHNYZK,ANJ,DQT,CE
APYTNO,RFG,XYE,MB
